"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"1","2019-07-28 22:19:35","38","sr-Latn","2019-07-28 22:16:38","2019-07-28 22:19:35","134.90.131.164","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","16","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","Dodatne informacije o izbornim predmetima, kao i kompletan spisak svih dostupnih izbornih predmeta.","","185.95","","4.24","5.24","6.06","8.2","3.5","","","6.44","3.84","13.21","3.51","3.49","2.6","8.26","4.25","4.18","4.57","3.79","3.83","4.45","","","","","","","","","","","","","","","","","","","4.53","84.18","3.58"
"2","","0","sr-Latn","2019-07-29 08:37:44","2019-07-29 08:38:15","212.200.247.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.43","","33.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","2019-07-29 11:48:24","38","sr-Latn","2019-07-29 11:43:32","2019-07-29 11:48:24","77.243.26.60","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","99","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","","","Za početak, napraviti verziju pogodnu za mobilne telefone. Takođe, odeljak ""prijava za eksperimente"" odbaciti u ""istraživanja"" umesto u ""studenti"" jer se sećam da je mene to zbunjivalo bilo. ","","","","304.01","","10.01","7.43","5.44","6.01","3.82","","","","","","","","","","","","","","","","","7.94","9.05","3.4","2.85","4.68","4.01","5.64","7.06","9.13","3.27","5.02","14.09","3","","3.9","5.42","182.84","","",""
"4","2019-07-29 13:11:02","38","sr-Latn","2019-07-29 13:08:07","2019-07-29 13:11:02","31.223.132.133","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Neutralan","99","","","","","","","","","","","","","","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","185.32","","18.23","4.04","7.34","7.62","8.32","","","","","","","","","","","","","","","","","8.51","16.09","3.83","5.98","3.81","7.39","5.55","11.35","4.95","5.66","4.07","7.18","3.07","","10.8","36.97","4.56","","",""
"5","2019-07-29 15:22:20","38","sr-Latn","2019-07-29 15:17:55","2019-07-29 15:22:20","188.2.142.223","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","33","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","Voleo bih vecu funkcionlanost nasih naloga u smislu da mozemo graditi potencijalne izbore kurseva a da se uz to ucitava ukupan broj ESPB i slicno. Cesto fale dodatni izborni kursevi koji se mogu naci na rasporedu koji izadje na maticnom sajtu. To bi bilo dobro azurirati redovno. ","","","276.27","","11.78","3.54","3.6","7.39","8.04","","","11.7","12.06","11.45","14.37","4.45","4.27","9.37","14.58","7.96","7.26","6.16","3.63","4.86","","","","","","","","","","","","","","","","","","","113","12.58","4.22"
"6","2019-07-29 16:20:30","38","sr-Latn","2019-07-29 16:18:45","2019-07-29 16:20:30","188.2.49.41","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","10","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","113.62","","3.79","4.16","14.01","5.43","6.73","","","7.77","7.97","3.37","3.27","4.49","4.01","7.59","4.26","3.48","5.32","4.18","3.04","8.28","","","","","","","","","","","","","","","","","","","4.87","4.31","3.29"
"7","2019-07-29 18:26:32","38","sr-Latn","2019-07-29 18:24:51","2019-07-29 18:26:32","178.222.190.192","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","7","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","111.64","","3.17","3.87","6.72","7.7","4.38","","","12.51","5","4.58","3.83","3.8","3.52","9.43","8.83","4.49","5.35","3.82","3.4","3.32","","","","","","","","","","","","","","","","","","","6.01","2.79","5.12"
"8","2019-07-29 19:43:34","38","sr-Latn","2019-07-29 19:41:53","2019-07-29 19:43:34","109.93.51.23","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","28","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","110.7","","8.76","6.85","7.18","11.2","5.14","","","6.4","5.99","3.38","2.79","3.68","5.1","5.23","2.88","2.8","5.72","4.31","2.16","6.44","","","","","","","","","","","","","","","","","","","9.06","2.83","2.8"
"9","","29","sr-Latn","2019-07-30 00:02:11","2019-07-30 00:03:38","77.243.24.146","Muški","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Neutralan","66","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","93.38","","7.1","5.16","5.12","6.05","4.39","","","","","","","","","","","","","","","","","10.01","5.12","3.89","4.36","4.62","4.52","4.58","12.42","7.32","8.72","","","","","","","","","",""
"10","2019-07-30 02:59:51","38","sr-Latn","2019-07-30 02:58:14","2019-07-30 02:59:51","87.116.182.34","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","16","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","108.7","","9.2","8.34","6.5","8.82","5.09","","","9.12","3.52","3.66","3.9","4.28","3.44","8.87","3.83","3.91","4.3","3.43","2.61","4.56","","","","","","","","","","","","","","","","","","","4.3","3.74","3.28"
"11","2019-07-30 11:33:58","38","sr-Latn","2019-07-30 11:31:00","2019-07-30 11:33:58","79.140.149.251","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","86","","","","","","","","","","","","","","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Ugalvnom se ne slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","185.58","","2.54","6.43","7.21","7.79","6.04","","","","","","","","","","","","","","","","","12.35","6.03","4.61","16.47","5.46","7.37","4.4","12.51","3.59","5.31","4.58","4.03","38.08","","4.49","23.16","3.13","","",""
"12","2019-07-30 12:47:42","38","sr-Latn","2019-07-30 12:43:01","2019-07-30 12:47:42","109.245.159.72","Ženski","Budući student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Neutralan","4","Uopšte se ne slažem","Uglavnom se slažem","Uopšte se ne slažem","Uglavanom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uopšte se ne slažem","Uglavnom se ne slažem","uglavnom se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","290.52","","16.01","17.5","13.37","6.17","15.49","","","35","27.25","6.37","6.88","15.81","20.74","17.74","10.91","12.2","6.89","7.27","4.15","6.54","","","","","","","","","","","","","","","","","","","21.7","9.51","13.02"
"13","","19","sr-Latn","2019-07-30 13:09:18","2019-07-30 13:10:15","79.101.156.223","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.34","","2.6","6.59","5.88","5.82","4.82","","","","","","","","","","","","","","","","","36.63","","","","","","","","","","","","","","","","","","",""
"14","","-1","sr-Latn","2019-07-30 13:17:25","2019-07-30 13:18:50","109.245.36.120","Ženski","Drugo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.25","","5.33","14.3","49.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2019-07-30 13:29:36","38","sr-Latn","2019-07-30 13:27:42","2019-07-30 13:29:36","77.46.252.18","Ženski","Drugo","Nekoliko puta u semestru","Manje od 5 minuta","Neutralan","42","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","","","","122.88","","2.8","8.77","11.79","6.37","7.13","","","12.27","6.37","4.77","4.08","4.64","3.59","5.36","6.61","5.58","5.64","4.39","3.12","5.2","","","","","","","","","","","","","","","","","","","6.45","4.17","3.78"
"16","2019-07-30 13:35:19","38","sr-Latn","2019-07-30 13:33:20","2019-07-30 13:35:19","212.200.181.103","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","74","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","","","","","","","128.82","","3.5","5.93","15.21","3.44","4.01","","","","","","","","","","","","","","","","","11.68","3.97","6.62","2.91","3.72","2.79","4.9","7.18","2.81","2.01","4.68","3.32","3.45","","15.27","14.1","7.32","","",""
